urn	n	speaker	raw_word	pos	lemma
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:30@καταυλισθεὶς	30	Ὀδυσσεύς	καταυλισθεὶς	verb	καταυλίζω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:30@κυρεῖ.	30	Ὀδυσσεύς	κυρεῖ.	verb	κυρέω
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:32@οὐδʼ	32	Ὀδυσσεύς	οὐδʼ	coordinating_conjunction	οὐδʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:32@ἔνδον	32	Ὀδυσσεύς	ἔνδον	adverb	ἔνδον
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:32@οἰκοποιός	32	Ὀδυσσεύς	οἰκοποιός	noun	οἰκοποιός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:32@ἐστί	32	Ὀδυσσεύς	ἐστί	auxiliary	εἰμί
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:32@τις	32	Ὀδυσσεύς	τις	determiner	τὶς
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:32@τροφή;	32	Ὀδυσσεύς	τροφή;	noun	τροφή
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:34@τὰ	34	Ὀδυσσεύς	τὰ	determiner	ὁ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:34@δʼ	34	Ὀδυσσεύς	δʼ	adverb	δʼ
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:34@ἄλλʼ	34	Ὀδυσσεύς	ἄλλʼ	adjective	ἄλλος
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:34@ἔρημα,	34	Ὀδυσσεύς	ἔρημα,	noun	ἔρημα
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:34@κοὐδέν	34	Ὀδυσσεύς	κοὐδέν	adjective	κοὐδός
urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:34@ἐσθʼ	34	Ὀδυσσεύς	ἐσθʼ	auxiliary	εἰμί
